, n, min(s), avg(s), max(s), stdv, duty min, avg, max, stdv
stride(l.),,,,,,,,,
contact,,,,,,,,,
stride(r.),,,,,,,,,
contact,,,,,,,,,
uniped(l.),,,,,,,,,
contact,,,,,,,,,
uniped(r.),,,,,,,,,
contact,,,,,,,,,
biped(l.),,,,,,,,,
contact,,,,,,,,,
biped(r.),,,,,,,,,
contact,,,,,,,,,
step(l.),,,,,,,,,
contact,,,,,,,,,
step(r.),,,,,,,,,
contact,,,,,,,,,
