*ActiveDAQ HHS versie1.07
*Date 19-10-12 Time: 14:00:17
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     2.300     4.094     4.095
     2.310     4.094     4.094
     2.320     2.037     4.095
     2.330     2.046     4.095
     2.340     2.037     4.095
     2.350     2.042     4.094
     2.360     2.041     4.094
     2.370     2.038     4.095
     2.380     2.055     4.095
     2.390     2.039     4.094
     2.400     2.041     4.095
     2.410     2.052     4.094
     2.420     2.035     4.095
     2.430     2.046     4.095
     2.440     2.046     4.094
     2.450     2.046     4.094
     2.460     2.059     4.095
     2.470     2.040     4.095
     2.480     2.046     4.095
     2.490     2.044     4.094
     2.500     2.048     4.094
     2.510     2.047     4.095
     2.520     2.046     4.094
     2.530     2.042     4.094
     2.540     2.050     4.094
     2.550     2.042     4.094
     2.560     2.050     4.095
     2.570     2.056     4.095
     2.580     2.041     4.093
     2.590     2.059     4.094
     2.600     2.052     4.095
     2.610     2.045     4.095
     2.620     2.054     4.095
     2.630     2.053     4.094
     2.640     2.030     4.095
     2.650     2.053     4.094
     2.660     2.044     4.094
     2.670     2.059     4.094
     2.680     2.042     4.094
     2.690     4.095     4.095
     2.700     4.095     4.095
     2.710     4.094     4.094
     2.720     4.095     3.457
     2.730     4.094     4.090
     2.740     4.094     3.781
     2.750     4.094     4.093
     2.760     4.094     2.052
     2.770     4.095     2.043
     2.780     4.094     2.048
     2.790     4.094     2.034
     2.800     4.095     2.037
     2.810     4.094     2.054
     2.820     4.094     2.042
     2.830     4.095     2.054
     2.840     4.094     2.049
     2.850     4.095     2.047
     2.860     4.094     2.060
     2.870     4.094     2.041
     2.880     4.095     2.057
     2.890     4.094     2.050
     2.900     4.094     2.042
     2.910     4.094     2.058
     2.920     4.094     2.039
     2.930     4.095     2.045
     2.940     4.094     2.055
     2.950     4.094     2.037
     2.960     4.094     2.054
