*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 9:16:35
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     2.300     2.043     4.091
     2.310     2.050     4.091
     2.320     2.060     4.091
     2.330     2.024     4.091
     2.340     2.063     4.091
     2.350     2.045     4.090
     2.360     2.043     4.091
     2.370     2.061     4.091
     2.380     2.022     4.091
     2.390     2.060     4.091
     2.400     2.059     4.091
     2.410     2.024     4.091
     2.420     2.062     4.090
     2.430     2.039     4.091
     2.440     2.044     4.091
     2.450     2.061     4.091
     2.460     2.028     4.091
     2.470     2.060     4.091
     2.480     2.036     4.090
     2.490     2.048     4.091
     2.500     2.059     4.090
     2.510     2.036     4.090
     2.520     2.045     4.091
     2.530     2.062     4.090
     2.540     3.676     4.090
     2.550     3.995     4.091
     2.560     4.083     4.090
     2.570     4.090     4.090
     2.580     4.089     4.091
     2.590     4.090     4.091
     2.600     4.090     2.046
     2.610     4.089     2.058
     2.620     4.090     2.032
     2.630     4.090     2.058
     2.640     4.090     2.043
     2.650     4.089     2.047
     2.660     4.090     2.057
     2.670     4.089     2.029
     2.680     4.090     2.058
     2.690     4.089     2.044
     2.700     4.090     2.033
     2.710     4.090     2.058
     2.720     4.089     2.044
     2.730     4.090     2.047
     2.740     4.090     2.060
     2.750     4.090     2.028
     2.760     4.089     2.060
     2.770     4.090     2.042
     2.780     4.090     2.048
     2.790     4.090     2.056
     2.800     4.089     2.044
     2.810     4.090     2.025
     2.820     4.089     2.064
     2.830     4.090     2.033
     2.840     4.090     2.051
     2.850     4.089     2.045
     2.860     4.090     2.029
     2.870     4.090     2.067
     2.880     4.089     2.036
     2.890     4.090     2.046
     2.900     4.090     2.057
     2.910     4.090     2.042
     2.920     4.090     2.047
     2.930     4.089     2.064
     2.940     4.089     2.038
     2.950     4.090     2.049
     2.960     4.089     2.046
     2.970     4.089     2.035
     2.980     4.089     2.061
     2.990     4.089     2.040
     3.000     4.089     2.034
     3.010     4.090     2.854
     3.020     4.089     4.090
     3.030     4.090     4.092
     3.040     4.089     4.091
     3.050     4.089     4.091
     3.060     3.839     4.087
     3.070     2.047     4.090
     3.080     2.032     4.091
     3.090     2.063     4.090
     3.100     2.044     4.090
     3.110     2.034     4.091
     3.120     2.064     4.091
     3.130     2.035     4.091
     3.140     2.050     4.091
     3.150     2.061     4.090
     3.160     2.028     4.090
     3.170     2.060     4.090
     3.180     2.041     4.091
     3.190     2.047     4.091
     3.200     2.063     4.091
     3.210     2.043     4.090
     3.220     2.042     4.091
     3.230     2.061     4.090
     3.240     2.036     4.090
     3.250     2.049     4.091
     3.260     2.049     4.090
     3.270     2.025     4.091
     3.280     2.058     4.090
     3.290     2.042     4.090
     3.300     2.022     4.091
     3.310     2.051     4.091
     3.320     2.049     4.090
     3.330     2.031     4.090
     3.340     2.059     4.090
     3.350     2.042     4.090
     3.360     2.043     4.091
     3.370     2.058     4.090
     3.380     2.031     4.091
     3.390     2.061     4.090
     3.400     2.062     4.091
     3.410     2.035     4.091
     3.420     2.045     4.091
     3.430     2.044     4.091
     3.440     4.090     4.090
     3.450     4.089     4.090
     3.460     4.090     4.091
     3.470     4.090     4.090
     3.480     4.090     2.041
     3.490     4.090     2.033
     3.500     4.090     2.044
     3.510     4.089     2.046
     3.520     4.089     2.031
     3.530     4.090     2.058
     3.540     4.090     2.042
     3.550     4.090     2.044
     3.560     4.090     2.055
     3.570     4.089     2.034
     3.580     4.090     2.057
     3.590     4.089     2.044
     3.600     4.089     2.037
     3.610     4.090     2.052
     3.620     4.089     2.052
     3.630     4.090     2.038
     3.640     4.090     2.056
     3.650     4.090     2.035
     3.660     4.090     2.049
     3.670     4.090     2.058
     3.680     4.089     2.035
     3.690     4.090     2.064
     3.700     4.090     2.066
     3.710     4.089     2.035
     3.720     4.091     2.054
     3.730     4.089     2.047
     3.740     4.090     2.027
     3.750     4.090     2.057
     3.760     4.090     2.040
     3.770     4.090     2.046
     3.780     4.090     2.063
     3.790     4.090     2.027
     3.800     4.090     2.030
     3.810     4.089     2.061
     3.820     4.089     2.037
     3.830     4.089     2.049
     3.840     4.089     2.052
     3.850     4.090     2.030
     3.860     4.090     2.059
     3.870     4.090     2.039
     3.880     4.090     2.048
     3.890     4.089     2.063
     3.900     4.089     2.044
     3.910     4.090     2.049
     3.920     4.089     2.063
     3.930     4.089     4.091
     3.940     4.090     4.091
     3.950     4.089     4.091
     3.960     4.090     4.091
     3.970     2.064     4.091
     3.980     2.036     4.091
     3.990     2.066     4.091
     4.000     2.058     4.091
     4.010     2.036     4.091
     4.020     2.049     4.091
     4.030     2.045     4.091
     4.040     2.034     4.091
     4.050     2.061     4.090
     4.060     2.042     4.091
     4.070     2.052     4.091
     4.080     2.063     4.091
     4.090     2.027     4.090
     4.100     2.024     4.091
     4.110     2.060     4.091
     4.120     2.033     4.090
     4.130     2.060     4.091
     4.140     2.054     4.091
     4.150     2.035     4.090
     4.160     2.060     4.091
     4.170     2.032     4.090
     4.180     2.046     4.091
     4.190     2.067     4.090
     4.200     2.049     4.090
     4.210     2.046     4.091
     4.220     2.061     4.090
     4.230     2.030     4.090
     4.240     2.063     4.091
     4.250     2.051     4.090
     4.260     2.031     4.090
     4.270     2.068     4.091
     4.280     2.034     4.092
     4.290     2.053     4.090
     4.300     2.068     4.090
     4.310     2.040     4.090
     4.320     2.045     4.090
     4.330     2.060     4.090
     4.340     2.026     4.091
     4.350     2.062     4.091
     4.360     2.042     4.090
     4.370     4.090     4.091
     4.380     4.090     4.090
     4.390     4.090     4.091
     4.400     4.090     4.091
     4.410     4.090     4.091
     4.420     4.090     2.024
     4.430     4.090     2.052
     4.440     4.090     2.042
     4.450     4.090     2.046
     4.460     4.090     2.057
     4.470     4.090     2.031
     4.480     4.090     2.059
     4.490     4.090     2.043
     4.500     4.090     2.033
     4.510     4.090     2.056
     4.520     4.090     2.037
     4.530     4.090     2.048
     4.540     4.090     2.058
     4.550     4.089     2.038
     4.560     4.090     2.065
     4.570     4.089     2.037
     4.580     4.090     2.049
     4.590     4.089     2.059
     4.600     4.090     2.046
     4.610     4.090     2.045
     4.620     4.090     2.061
     4.630     4.090     2.025
     4.640     4.089     2.061
     4.650     4.090     2.041
     4.660     4.090     2.048
     4.670     4.089     2.063
     4.680     4.090     2.030
     4.690     4.090     2.060
     4.700     4.090     2.059
     4.710     4.090     2.031
     4.720     4.090     2.061
     4.730     4.090     2.043
     4.740     4.090     2.045
     4.750     4.089     2.060
     4.760     4.090     2.026
     4.770     4.089     2.058
     4.780     4.090     2.040
     4.790     4.089     2.049
     4.800     4.089     2.056
     4.810     4.090     2.039
     4.820     4.090     2.048
     4.830     4.089     2.052
     4.840     4.090     2.035
     4.850     4.090     2.061
     4.860     4.090     2.036
     4.870     4.090     4.091
     4.880     4.089     4.091
     4.890     4.090     4.091
     4.900     4.090     4.091
     4.910     4.090     4.091
     4.920     2.023     4.091
     4.930     2.064     4.091
     4.940     2.042     4.091
     4.950     2.047     4.091
     4.960     2.060     4.091
     4.970     2.030     4.091
     4.980     2.063     4.091
     4.990     2.041     4.091
     5.000     2.031     4.091
     5.010     2.058     4.091
     5.020     2.043     4.091
     5.030     2.046     4.091
     5.040     2.062     4.091
     5.050     2.035     4.091
     5.060     2.058     4.090
     5.070     2.038     4.090
     5.080     2.049     4.091
     5.090     2.052     4.091
     5.100     2.032     4.091
     5.110     2.049     4.091
     5.120     2.059     4.090
     5.130     2.034     4.090
     5.140     2.061     4.090
     5.150     2.040     4.090
     5.160     2.048     4.091
     5.170     2.059     4.090
     5.180     2.032     4.091
     5.190     2.063     4.090
     5.200     2.051     4.090
     5.210     2.034     4.091
     5.220     2.063     4.091
     5.230     2.032     4.091
     5.240     2.046     4.091
     5.250     2.045     4.090
     5.260     2.029     4.091
     5.270     2.068     4.091
     5.280     2.033     4.091
     5.290     2.048     4.091
     5.300     4.090     4.090
     5.310     4.090     4.091
     5.320     4.091     4.090
     5.330     4.090     4.090
     5.340     4.087     4.089
     5.350     4.090     2.067
     5.360     4.089     2.033
     5.370     4.090     2.054
     5.380     4.089     2.046
     5.390     4.090     2.029
     5.400     4.090     2.051
     5.410     4.090     2.047
     5.420     4.090     2.033
     5.430     4.090     2.060
     5.440     4.090     2.036
     5.450     4.090     2.049
     5.460     4.090     2.051
     5.470     4.090     2.036
     5.480     4.090     2.063
     5.490     4.090     2.033
     5.500     4.090     2.031
     5.510     4.090     2.060
     5.520     4.090     2.034
     5.530     4.090     2.049
     5.540     4.090     2.048
     5.550     4.089     2.030
     5.560     4.090     2.059
     5.570     4.090     2.032
     5.580     4.090     2.049
     5.590     4.090     2.046
     5.600     4.089     2.032
     5.610     4.090     2.045
     5.620     4.090     2.048
     5.630     4.090     2.024
     5.640     4.090     2.067
     5.650     4.090     2.034
     5.660     4.090     2.051
     5.670     4.090     2.045
     5.680     4.090     2.026
     5.690     4.089     2.069
     5.700     4.089     2.048
     5.710     4.090     2.028
     5.720     4.090     2.058
     5.730     4.090     2.038
     5.740     4.090     2.051
     5.750     4.089     2.050
     5.760     4.090     2.032
     5.770     4.090     2.063
     5.780     4.090     2.044
     5.790     4.090     4.092
     5.800     4.089     4.091
     5.810     4.090     4.091
     5.820     4.090     4.092
     5.830     4.089     4.091
     5.840     2.028     4.090
     5.850     2.062     4.091
     5.860     2.040     4.091
     5.870     2.043     4.092
     5.880     2.054     4.091
     5.890     2.035     4.091
     5.900     2.049     4.091
     5.910     2.063     4.091
     5.920     2.035     4.091
     5.930     2.058     4.090
     5.940     2.036     4.091
     5.950     2.048     4.091
     5.960     2.060     4.090
     5.970     2.033     4.091
     5.980     2.065     4.091
     5.990     2.033     4.090
     6.000     2.033     4.091
     6.010     2.061     4.091
     6.020     2.035     4.091
     6.030     2.053     4.091
     6.040     2.051     4.090
     6.050     2.027     4.091
     6.060     2.070     4.091
     6.070     2.033     4.090
     6.080     2.049     4.091
     6.090     2.048     4.090
     6.100     2.031     4.090
     6.110     2.052     4.091
     6.120     2.045     4.090
     6.130     2.025     4.090
     6.140     2.073     4.091
     6.150     2.030     4.091
     6.160     2.059     4.091
     6.170     2.042     4.091
     6.180     2.021     4.091
     6.190     2.067     4.091
     6.200     2.047     4.090
     6.210     2.029     4.091
     6.220     2.069     4.091
     6.230     2.032     4.090
     6.240     2.065     4.090
     6.250     4.090     4.090
     6.260     4.090     4.090
     6.270     4.090     4.091
     6.280     4.089     4.090
     6.290     4.090     4.091
     6.300     4.090     4.091
     6.310     4.090     2.030
     6.320     4.090     2.045
     6.330     4.090     2.040
     6.340     4.091     2.028
     6.350     4.090     2.054
     6.360     4.090     2.035
     6.370     4.090     2.045
     6.380     4.090     2.047
     6.390     4.090     2.030
     6.400     4.090     2.049
     6.410     4.090     2.046
     6.420     4.090     2.031
     6.430     4.090     2.060
     6.440     4.090     2.039
     6.450     4.090     2.052
     6.460     4.090     2.048
     6.470     4.090     2.028
     6.480     4.089     2.068
     6.490     4.089     2.037
     6.500     4.090     2.032
     6.510     4.090     2.060
     6.520     4.089     2.038
     6.530     4.090     2.043
     6.540     4.090     2.057
     6.550     4.089     2.037
     6.560     4.090     2.060
     6.570     4.090     2.035
     6.580     4.090     2.047
     6.590     4.089     2.051
     6.600     4.089     2.039
     6.610     4.090     2.044
     6.620     4.090     2.059
     6.630     4.090     2.031
     6.640     4.089     2.066
     6.650     4.090     2.039
     6.660     4.090     2.047
     6.670     4.090     2.060
     6.680     4.090     2.031
     6.690     4.090     2.065
     6.700     4.089     2.065
     6.710     4.090     4.092
     6.720     4.089     4.091
     6.730     4.089     4.091
     6.740     4.090     4.091
     6.750     4.089     4.091
     6.760     4.089     4.091
     6.770     4.090     4.091
     6.780     4.089     4.091
     6.790     4.090     4.091
     6.800     4.090     4.091
     6.810     4.089     4.091
     6.820     4.089     4.091
     6.830     4.089     4.090
     6.840     4.089     4.091
