*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 12:48:07
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     2.300     4.090     4.091
     2.310     4.090     4.090
     2.320     4.090     4.090
     2.330     4.090     4.090
     2.340     4.091     4.091
     2.350     4.090     4.091
     2.360     4.090     4.090
     2.370     4.090     4.091
     2.380     4.090     4.091
     2.390     4.090     4.090
     2.400     4.091     4.091
     2.410     4.091     4.090
     2.420     4.090     4.090
     2.430     4.090     4.091
     2.440     4.090     4.090
     2.450     4.090     4.090
     2.460     4.090     4.090
     2.470     4.090     4.090
     2.480     4.090     4.091
     2.490     4.090     4.078
     2.500     4.090     2.030
     2.510     4.090     2.052
     2.520     4.090     2.060
     2.530     4.090     2.027
     2.540     4.089     2.056
     2.550     4.090     2.038
     2.560     4.090     2.046
     2.570     4.089     2.060
     2.580     4.090     2.036
     2.590     4.090     2.056
     2.600     4.090     2.057
     2.610     4.090     2.035
     2.620     4.090     2.054
     2.630     4.089     2.043
     2.640     4.090     2.030
     2.650     4.090     2.059
     2.660     4.090     2.036
     2.670     4.090     2.051
     2.680     4.090     2.047
     2.690     4.090     2.032
     2.700     4.091     2.049
     2.710     4.090     2.048
     2.720     4.090     2.029
     2.730     4.090     2.064
     2.740     4.090     2.034
     2.750     4.091     2.042
     2.760     4.090     2.048
     2.770     4.091     2.032
     2.780     4.090     2.059
     2.790     4.090     2.046
     2.800     4.090     2.035
     2.810     4.090     2.059
     2.820     4.090     2.048
     2.830     4.090     2.027
     2.840     4.090     2.059
     2.850     4.090     2.035
     2.860     4.090     2.048
     2.870     4.090     2.059
     2.880     4.090     2.033
     2.890     4.090     2.059
     2.900     4.090     2.059
     2.910     4.090     2.034
     2.920     4.090     2.061
     2.930     4.090     2.044
     2.940     4.089     4.090
     2.950     4.090     4.091
     2.960     4.090     4.091
     2.970     4.090     4.091
     2.980     4.090     4.090
     2.990     4.090     4.091
     3.000     4.090     4.091
     3.010     4.090     4.090
     3.020     4.090     4.091
     3.030     4.090     4.091
     3.040     4.090     4.091
     3.050     4.090     4.091
     3.060     2.061     4.091
     3.070     2.033     4.091
     3.080     2.054     4.091
     3.090     2.048     4.090
     3.100     2.036     4.091
     3.110     2.046     4.091
     3.120     2.059     4.091
     3.130     2.028     4.090
     3.140     2.059     4.091
     3.150     2.040     4.091
     3.160     2.046     4.091
     3.170     2.060     4.091
     3.180     2.034     4.091
     3.190     2.061     4.091
     3.200     2.060     4.091
     3.210     2.028     4.091
     3.220     2.062     4.091
     3.230     2.046     4.090
     3.240     2.043     4.091
     3.250     2.059     4.091
     3.260     2.032     4.090
     3.270     2.062     4.090
     3.280     2.045     4.091
     3.290     2.029     4.091
     3.300     2.050     4.091
     3.310     2.046     4.090
     3.320     2.031     4.091
     3.330     2.060     4.090
     3.340     2.044     4.091
     3.350     2.027     4.091
     3.360     2.067     4.091
     3.370     2.034     4.090
     3.380     2.051     4.091
     3.390     2.043     4.090
     3.400     2.033     4.090
     3.410     2.062     4.091
     3.420     2.061     4.090
     3.430     2.027     4.091
     3.440     2.061     4.091
     3.450     2.045     4.091
     3.460     2.037     4.091
     3.470     2.059     4.091
     3.480     2.036     4.091
     3.490     2.054     4.091
     3.500     4.091     4.090
     3.510     4.091     4.091
     3.520     4.091     4.091
     3.530     4.090     4.091
     3.540     4.090     4.090
     3.550     4.090     4.091
     3.560     4.091     4.091
     3.570     4.091     4.090
     3.580     4.090     4.091
     3.590     4.090     4.087
     3.600     4.091     2.041
     3.610     4.091     2.052
     3.620     4.091     2.031
     3.630     4.091     2.054
     3.640     4.090     2.045
     3.650     4.091     2.043
     3.660     4.090     2.058
     3.670     4.090     2.038
     3.680     4.091     2.058
     3.690     4.090     2.048
     3.700     4.090     2.038
     3.710     4.090     2.061
     3.720     4.090     2.046
     3.730     4.090     2.035
     3.740     4.091     2.061
     3.750     4.090     2.037
     3.760     4.091     2.046
     3.770     4.090     2.047
     3.780     4.091     2.029
     3.790     4.091     2.063
     3.800     4.090     2.047
     3.810     4.090     2.031
     3.820     4.090     2.063
     3.830     4.091     2.037
     3.840     4.091     2.049
     3.850     4.089     2.046
     3.860     4.090     2.031
     3.870     4.090     2.059
     3.880     4.090     2.042
     3.890     4.091     2.049
     3.900     4.090     2.061
     3.910     4.091     2.034
     3.920     4.091     2.050
     3.930     4.091     2.052
     3.940     4.090     2.036
     3.950     4.090     2.059
     3.960     4.090     2.041
     3.970     4.091     2.046
     3.980     4.090     2.050
     3.990     4.090     2.034
     4.000     4.090     2.047
     4.010     4.090     2.054
     4.020     4.091     2.037
     4.030     4.090     2.060
     4.040     4.090     3.827
     4.050     4.091     4.091
     4.060     4.090     4.091
     4.070     4.090     4.091
     4.080     4.090     4.091
     4.090     4.090     4.091
     4.100     4.090     4.092
     4.110     4.038     4.092
     4.120     2.036     4.091
     4.130     2.047     4.092
     4.140     2.055     4.091
     4.150     2.033     4.091
     4.160     2.061     4.091
     4.170     2.036     4.091
     4.180     2.031     4.091
     4.190     2.064     4.091
     4.200     2.043     4.092
     4.210     2.050     4.091
     4.220     2.060     4.091
     4.230     2.031     4.091
     4.240     2.064     4.091
     4.250     2.046     4.091
     4.260     2.030     4.091
     4.270     2.064     4.091
     4.280     2.051     4.091
     4.290     2.036     4.091
     4.300     2.054     4.091
     4.310     2.059     4.090
     4.320     2.028     4.091
     4.330     2.063     4.091
     4.340     2.042     4.091
     4.350     2.039     4.092
     4.360     2.064     4.091
     4.370     2.034     4.090
     4.380     2.058     4.091
     4.390     2.046     4.090
     4.400     2.029     4.091
     4.410     2.055     4.091
     4.420     2.047     4.091
     4.430     2.024     4.091
     4.440     2.059     4.091
     4.450     2.034     4.091
     4.460     2.051     4.092
     4.470     2.041     4.090
     4.480     2.042     4.091
     4.490     2.064     4.091
     4.500     2.045     4.091
     4.510     2.030     4.091
     4.520     2.062     4.091
     4.530     2.047     4.091
     4.540     4.091     4.091
     4.550     4.091     4.091
     4.560     4.091     4.091
     4.570     4.090     4.091
     4.580     4.090     4.090
     4.590     4.091     4.091
     4.600     4.091     4.091
     4.610     4.091     4.091
     4.620     4.091     2.041
     4.630     4.091     2.052
     4.640     4.091     2.030
     4.650     4.091     2.052
     4.660     4.091     2.046
     4.670     4.091     2.048
     4.680     4.090     2.056
     4.690     4.091     2.030
     4.700     4.091     2.045
     4.710     4.090     2.060
     4.720     4.091     2.038
     4.730     4.091     2.060
     4.740     4.090     2.050
     4.750     4.091     2.035
     4.760     4.090     2.065
     4.770     4.091     2.042
     4.780     4.091     2.053
     4.790     4.090     2.050
     4.800     4.091     2.035
     4.810     4.091     2.047
     4.820     4.091     2.050
     4.830     4.091     2.027
     4.840     4.091     2.068
     4.850     4.091     2.031
     4.860     4.091     2.059
     4.870     4.090     2.049
     4.880     4.090     2.024
     4.890     4.090     2.065
     4.900     4.090     2.051
     4.910     4.090     2.033
     4.920     4.090     2.057
     4.930     4.090     2.041
     4.940     4.091     2.049
     4.950     4.090     2.044
     4.960     4.091     2.037
     4.970     4.090     2.060
     4.980     4.090     2.042
     4.990     4.090     2.050
     5.000     4.091     2.053
     5.010     4.090     2.048
     5.020     4.090     2.029
     5.030     4.090     2.062
     5.040     4.090     2.036
     5.050     4.090     4.091
     5.060     4.091     4.091
     5.070     4.091     4.091
     5.080     4.090     4.091
     5.090     4.090     4.091
     5.100     4.090     4.091
     5.110     2.048     4.091
     5.120     2.045     4.091
     5.130     2.036     4.091
     5.140     2.055     4.091
     5.150     2.039     4.091
     5.160     2.045     4.091
     5.170     2.062     4.091
     5.180     2.036     4.092
     5.190     2.056     4.091
     5.200     2.049     4.091
     5.210     2.027     4.091
     5.220     2.066     4.091
     5.230     2.033     4.091
     5.240     2.046     4.091
     5.250     2.051     4.091
     5.260     2.033     4.091
     5.270     2.060     4.091
     5.280     2.035     4.091
     5.290     2.050     4.091
     5.300     2.060     4.091
     5.310     2.037     4.091
     5.320     2.047     4.091
     5.330     2.056     4.091
     5.340     2.033     4.091
     5.350     2.063     4.091
     5.360     2.035     4.091
     5.370     2.043     4.091
     5.380     2.051     4.091
     5.390     2.035     4.090
     5.400     2.049     4.091
     5.410     2.060     4.091
     5.420     2.031     4.091
     5.430     2.054     4.090
     5.440     2.038     4.091
     5.450     2.049     4.091
     5.460     2.064     4.091
     5.470     2.030     4.091
     5.480     2.060     4.091
     5.490     2.042     4.090
     5.500     2.027     4.091
     5.510     2.058     4.091
     5.520     2.043     4.091
     5.530     3.806     4.092
     5.540     4.091     4.091
     5.550     4.091     4.091
     5.560     4.091     4.091
     5.570     4.091     4.091
     5.580     4.091     4.091
     5.590     4.091     4.091
     5.600     4.090     2.038
     5.610     4.091     2.043
     5.620     4.090     2.054
     5.630     4.090     2.029
     5.640     4.091     2.056
     5.650     4.091     2.047
     5.660     4.091     2.046
     5.670     4.091     2.057
     5.680     4.091     2.036
     5.690     4.091     2.059
     5.700     4.091     2.059
     5.710     4.091     2.035
     5.720     4.091     2.061
     5.730     4.091     2.049
     5.740     4.091     2.046
     5.750     4.091     2.061
     5.760     4.091     2.035
     5.770     4.090     2.062
     5.780     4.091     2.045
     5.790     4.091     2.047
     5.800     4.090     2.063
     5.810     4.091     2.046
