16.644,1.4432,28.415,23.455,29.216,66.057,31.15,113.25,29.055,159.86
16.633,1.4406,28.337,23.434,29.257,65.988,31.095,113.1,28.717,159.65
16.624,1.4418,28.254,23.437,29.293,65.939,31.036,112.93,28.37,159.41
16.616,1.4344,28.172,23.41,29.335,65.856,30.979,112.74,28.013,159.16
16.6,1.4367,28.081,23.399,29.384,65.778,30.927,112.54,27.648,158.88
16.584,1.4264,27.984,23.38,29.427,65.692,30.873,112.31,27.275,158.57
16.565,1.4204,27.882,23.353,29.475,65.585,30.823,112.06,26.894,158.23
16.552,1.4062,27.774,23.328,29.525,65.476,30.78,111.79,26.507,157.87
16.541,1.3943,27.663,23.297,29.576,65.354,30.74,111.49,26.114,157.48
16.525,1.3905,27.546,23.273,29.623,65.226,30.698,111.17,25.715,157.05
16.511,1.3816,27.427,23.247,29.68,65.087,30.665,110.83,25.313,156.6
16.491,1.3787,27.306,23.216,29.731,64.934,30.624,110.46,24.906,156.11
16.469,1.3698,27.18,23.194,29.782,64.778,30.585,110.07,24.497,155.6
16.447,1.3653,27.059,23.156,29.84,64.595,30.548,109.65,24.086,155.05
16.428,1.3533,26.937,23.126,29.898,64.413,30.512,109.2,23.673,154.47
16.413,1.3442,26.811,23.088,29.956,64.21,30.482,108.72,23.261,153.86
16.398,1.3355,26.688,23.044,30.02,63.983,30.454,108.21,22.848,153.21
16.38,1.3218,26.556,22.995,30.071,63.738,30.424,107.67,22.436,152.54
16.354,1.3104,26.415,22.941,30.117,63.467,30.391,107.1,22.026,151.83
16.325,1.2991,26.278,22.872,30.17,63.166,30.363,106.49,21.618,151.09
16.297,1.2842,26.128,22.811,30.203,62.862,30.331,105.85,21.214,150.32
16.271,1.2718,25.988,22.738,30.248,62.535,30.301,105.19,20.812,149.52
16.245,1.2633,25.851,22.658,30.296,62.19,30.276,104.51,20.416,148.69
16.22,1.2563,25.696,22.598,30.321,61.851,30.247,103.8,20.023,147.83
16.19,1.2443,25.538,22.512,30.346,61.48,30.221,103.06,19.637,146.94
16.161,1.2318,25.393,22.428,30.383,61.098,30.198,102.3,19.256,146.03
16.124,1.2251,25.222,22.362,30.386,60.728,30.166,101.52,18.881,145.09
16.088,1.2142,25.05,22.279,30.386,60.328,30.136,100.72,18.513,144.12
16.055,1.1994,24.886,22.191,30.385,59.916,30.103,99.891,18.151,143.13
16.029,1.1805,24.724,22.101,30.388,59.49,30.077,99.041,17.797,142.12
16.006,1.1684,24.553,22.015,30.361,59.059,30.037,98.175,17.451,141.09
15.983,1.1614,24.377,21.928,30.326,58.614,29.997,97.289,17.112,140.04
15.956,1.1532,24.198,21.846,30.285,58.171,29.956,96.39,16.782,138.98
15.925,1.14,24.012,21.75,30.231,57.711,29.911,95.477,16.459,137.89
15.897,1.1291,23.822,21.647,30.162,57.237,29.861,94.551,16.145,136.79
15.866,1.1145,23.636,21.543,30.094,56.757,29.81,93.612,15.838,135.68
15.84,1.0982,23.452,21.446,30.023,56.279,29.762,92.662,15.54,134.56
15.823,1.0833,23.272,21.343,29.942,55.792,29.706,91.705,15.25,133.43
15.811,1.0691,23.098,21.244,29.862,55.306,29.653,90.741,14.967,132.29
15.795,1.0557,22.926,21.145,29.785,54.813,29.603,89.768,14.693,131.14
15.778,1.0447,22.761,21.058,29.705,54.333,29.545,88.794,14.426,129.99
15.761,1.0292,22.606,20.968,29.644,53.844,29.503,87.811,14.167,128.84
15.748,1.0151,22.46,20.874,29.582,53.351,29.452,86.829,13.914,127.69
15.74,1.0037,22.316,20.79,29.518,52.866,29.407,85.848,13.669,126.54
15.735,0.99429,22.17,20.718,29.455,52.386,29.367,84.861,13.431,125.39
15.731,0.97072,22.041,20.635,29.397,51.91,29.321,83.884,13.2,124.25
15.722,0.9578,21.913,20.548,29.345,51.423,29.281,82.91,12.974,123.11
15.712,0.94262,21.79,20.469,29.292,50.941,29.235,81.936,12.755,121.99
15.7,0.9277,21.668,20.38,29.23,50.452,29.183,80.972,12.542,120.87
