30.74,1.0037,13.892,40.576,45.144,65.157
30.735,0.99429,13.606,40.441,45.303,64.33
30.731,0.97072,13.351,40.299,45.443,63.52
30.722,0.9578,13.103,40.139,45.588,62.708
30.712,0.94262,12.868,39.995,45.715,61.887
30.7,0.9277,12.637,39.832,45.823,61.072
30.688,0.91195,12.391,39.703,45.934,60.248
30.68,0.90617,12.168,39.551,46.024,59.435
30.674,0.89471,11.943,39.392,46.112,58.621
30.666,0.89049,11.73,39.234,46.186,57.81
30.653,0.88536,11.525,39.084,46.259,57.01
30.64,0.88076,11.32,38.953,46.324,56.224
30.626,0.88767,11.13,38.835,46.375,55.451
30.618,0.88401,10.946,38.709,46.427,54.694
30.608,0.8873,10.772,38.583,46.477,53.952
30.597,0.89581,10.616,38.456,46.52,53.215
30.584,0.9042,10.452,38.347,46.561,52.493
30.572,0.90961,10.308,38.228,46.595,51.806
30.556,0.92341,10.157,38.148,46.633,51.113
30.543,0.93287,10.018,38.072,46.65,50.455
30.53,0.94279,9.9,37.965,46.685,49.815
30.517,0.9624,9.7752,37.894,46.706,49.195
30.508,0.97098,9.6692,37.814,46.734,48.609
30.499,0.98076,9.5786,37.729,46.743,48.053
30.494,0.99847,9.4935,37.664,46.753,47.531
30.493,1.0152,9.3989,37.622,46.757,47.046
30.495,1.0226,9.3127,37.572,46.735,46.62
30.491,1.0358,9.2331,37.501,46.698,46.242
30.488,1.0439,9.1445,37.431,46.655,45.907
30.483,1.0447,9.0447,37.382,46.604,45.619
30.472,1.0591,8.9396,37.333,46.537,45.375
30.467,1.0574,8.8388,37.269,46.467,45.168
30.463,1.0685,8.7443,37.199,46.381,45.004
30.461,1.0754,8.6195,37.151,46.276,44.897
30.457,1.0793,8.4943,37.076,46.157,44.835
30.449,1.0804,8.3687,36.984,46.032,44.806
30.441,1.0803,8.2176,36.902,45.872,44.838
30.432,1.0812,8.063,36.817,45.704,44.922
30.423,1.0805,7.9081,36.729,45.515,45.05
30.412,1.0819,7.7282,36.658,45.299,45.256
30.401,1.0859,7.5597,36.575,45.086,45.487
30.389,1.0896,7.3714,36.487,44.85,45.785
30.375,1.0991,7.1884,36.386,44.591,46.135
30.365,1.1085,6.9842,36.302,44.317,46.514
30.355,1.1177,6.792,36.211,44.025,46.951
30.34,1.1301,6.5741,36.111,43.713,47.418
